"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"3245","23","Rnf149",1.43902681245172,3.67493074898084e-152,7.86765924049308e-148,0.764,0.319
"3246","23","Csf2ra",1.23752780697682,3.38640217409061e-151,7.24994841451059e-147,0.769,0.143
"3247","23","Ninj1",1.50351040423303,1.00914153712487e-150,2.16047111683063e-146,0.934,0.531
"3248","23","Cd83",1.60165578619259,3.40105431270568e-150,7.28131717807158e-146,0.844,0.085
"3249","23","F10",1.22362793239354,1.48899891393621e-148,3.18779777484603e-144,0.363,0.001
"3250","23","Cd300a",1.3275119414286,4.93811910961266e-148,1.05720192017697e-143,0.693,0.045
"3251","23","Cd86",1.51604696046559,2.12855541765359e-147,4.55702429365458e-143,0.783,0.065
"3252","23","Cd74",2.86137460405058,2.97298870839686e-145,6.36487152580683e-141,0.825,0.13
"3253","23","Runx3",1.26822535938745,2.09682782704053e-144,4.48909869491106e-140,0.632,0.031
"3254","23","Mpeg1",1.43139397492967,1.01487567219822e-142,2.17274732660918e-138,0.708,0.051
"3255","23","Slfn2",1.51531391809315,8.75981213865924e-141,1.87538818076556e-136,0.892,0.129
"3256","23","Marcks",1.36554869144625,8.35127351307492e-139,1.78792414641421e-134,0.863,0.503
"3257","23","Cybb",1.62377423579103,6.41222843360881e-138,1.37279398535131e-133,0.693,0.053
"3258","23","Il7r",1.61558659681472,2.20068923822857e-135,4.71145559012355e-131,0.613,0.034
"3259","23","Bcl2a1d",1.42521110925751,2.44310550341041e-135,5.23044457225134e-131,0.731,0.061
"3260","23","Lst1",1.5411540023132,4.1348132760305e-130,8.8522217426537e-126,0.604,0.053
"3261","23","H2-Eb1",2.54392696727651,1.71195256366354e-129,3.66511924354727e-125,0.684,0.068
"3262","23","Clec4e",1.73555270883046,5.47062178198379e-129,1.17120541730491e-124,0.509,0.017
"3263","23","Basp1",1.73971629939655,2.6788742009771e-128,5.73520177687188e-124,0.887,0.333
"3264","23","Ccr1",1.72659424106031,5.52551691202882e-127,1.18295791569625e-122,0.67,0.051
"3265","23","Slc15a3",1.20731387096366,1.31123060797796e-126,2.80721360862001e-122,0.759,0.079
"3266","23","Bcl2a1b",1.22345541421827,4.68402689539288e-126,1.00280331803466e-121,0.708,0.071
"3267","23","Tmsb4x",1.35677389385129,8.20148277895398e-125,1.75585544814626e-120,1,0.994
"3268","23","H2-DMb1",1.47916322823822,1.70925467940158e-124,3.65934334313083e-120,0.561,0.072
"3269","23","Rel",1.291531067863,5.85250536926575e-124,1.25296287450611e-119,0.736,0.266
"3270","23","H2-Aa",2.83840627460685,2.79738301037251e-123,5.98891728690651e-119,0.651,0.079
"3271","23","H2-Ab1",2.85085492265335,1.52625908567037e-122,3.26756807651169e-118,0.642,0.09
"3272","23","Samsn1",1.27773490492481,2.40160013934566e-121,5.14158573832513e-117,0.514,0.02
"3273","23","Ncf2",1.26098790809926,5.92041942437271e-121,1.26750259456395e-116,0.656,0.061
"3274","23","Cxcr4",1.33614358270668,7.74147390459133e-120,1.65737214823396e-115,0.703,0.083
"3275","23","Rac2",1.31654834647331,7.75912078588304e-117,1.6611501690497e-112,0.637,0.049
"3276","23","Ms4a6c",1.19652085582357,7.47104406102432e-116,1.5994758230247e-111,0.623,0.047
"3277","23","Gngt2",1.6538419374742,3.70653456364244e-115,7.9353198473021e-111,0.571,0.063
"3278","23","Tpd52",1.25227995019172,2.67609777798264e-112,5.72925773288303e-108,0.679,0.373
"3279","23","Wfdc17",1.49857425814675,1.79770960909486e-110,3.84871650211119e-106,0.571,0.039
"3280","23","Smox",1.29830679945061,2.7198416754516e-108,5.82290904297434e-104,0.769,0.264
